,____,___,__,____(¡C),____(¡C),____(¡C),_____(00~24h_)(mm),__ ___(MJ/m2)
65,___,__,Jun-05,20.6,33.2,12.6,151.2,540.915
66,___,__,Jul-05,24,34.4,17.4,185.2,474.76
67,___,__,Aug-05,25,36,16.6,246.9,450.63
68,___,__,Sep-05,20,32.2,13.3,263.9,364.885
69,___,__,Oct-05,15,27.7,4.5,114.8,368.705
70,___,__,Nov-05,9.8,22.4,-0.7,32.9,298.88
71,___,__,Dec-05,-1.4,11.6,-13.1,0.4,287.51
72,___,__,Jan-06,0.2,8.3,-9.6,37.1,260.29
73,___,__,Feb-06,1.5,16.1,-11.9,18.3,333.115
74,___,__,Mar-06,6,18.9,-6.4,9.3,492.48
75,___,__,Apr-06,9.5,25.6,1.9,90.2,433.87
76,___,__,May-06,14.4,29.8,3.8,141.7,559.605
77,___,__,Jun-06,18.4,30.8,12.1,129,545.565
78,___,__,Jul-06,21,32.6,15,545,305.375
79,___,__,Aug-06,25.2,33,16.7,109.3,527.445
80,___,__,Sep-06,19.1,27.4,10.9,112.4,450.355
81,___,__,Oct-06,17.1,29.3,8.4,285.5,355.55
82,___,__,Nov-06,8.5,20.6,-0.8,84,246.205
83,___,__,Dec-06,2,11.3,-11.2,47.4,241.33
84,___,__,Jan-07,0.7,8.9,-7.8,23.3,270.455
85,___,__,Feb-07,4.1,18.8,-8.6,7.2,309.63
86,___,__,Mar-07,6.6,19,-6,112.6,402.87
87,___,__,Apr-07,11.7,27.6,1.9,27.4,515.395
88,___,__,May-07,17.1,30.3,7.2,102.1,585.27
89,___,__,Jun-07,20.3,30.5,12.1,52.3,587.935
90,___,__,Jul-07,22.1,34.5,16.9,212.8,446.85
91,___,__,Aug-07,24.9,35.3,18.6,206.8,419.435
92,___,__,Sep-07,20.7,30,13,397.8,300.255
93,___,__,Oct-07,15.3,27.8,4.5,87.3,370.625
94,___,__,Nov-07,8.4,19.9,-4.1,33.9,279.5
95,___,__,Dec-07,3.5,11.8,-6.8,1.2,228.9
96,___,__,Jan-08,0.3,10.7,-9.5,71.1,255.83
97,___,__,Feb-08,1.3,12.8,-9.8,0.6,377.29
98,___,__,Mar-08,7.3,17.7,-1.3,103.9,414.065
99,___,__,Apr-08,13.1,29.5,4.9,13.5,525.41
100,___,__,May-08,16.8,29.8,6.7,70,600.455
101,___,__,Jun-08,18.7,31.2,11.4,91.3,520.165
102,___,__,Jul-08,25.3,34.7,16.9,361.6,436.61
103,___,__,Aug-08,23.4,33,15.5,343.1,524.25
104,___,__,Sep-08,20.7,29.8,9.7,129.9,454.68
105,___,__,Oct-08,16.8,28.8,5,73.5,378.83
106,___,__,Nov-08,9.1,22.3,-5.2,78.5,269.41
107,___,__,Dec-08,3.6,14.5,-10.9,78,256.83
108,___,__,Jan-09,0.2,10.5,-10,29,297.2
109,___,__,Feb-09,4.5,12.8,-7.1,27,288.8
110,___,__,Mar-09,7,25.7,-3,83.2,438.6
111,___,__,Apr-09,12.8,29.3,1.9,111.2,568.4
112,___,__,May-09,17.7,30.3,9.6,50.5,603.39
113,___,__,Jun-09,20.2,32.4,12.8,181.1,575.38
114,___,__,Jul-09,21.7,32,15.7,405.2,498.82
115,___,__,Aug-09,23.1,32.1,14.7,247.3,457.9
116,___,__,Sep-09,20,29,13.9,20.5,474.79
117,___,__,Oct-09,16.3,26.2,7.6,29.8,412.82
118,___,__,Nov-09,8.2,23.2,-3.7,220.6,222.11
119,___,__,Dec-09,2,11.3,-9.6,14.7,242.96
120,___,__,Jan-10,-0.4,12.6,-11.6,41.5,275.92
121,___,__,Feb-10,1.5,14.2,-8.7,113.5,283.79
122,___,__,Mar-10,3.7,13.2,-2.2,152.1,340.2
123,___,__,Apr-10,9.1,20.3,0.4,51.6,496.93
124,___,__,May-10,16,30.9,5,149.5,590.16
125,___,__,Jun-10,20.1,29.2,6.6,18,654.64
126,___,__,Jul-10,25,35.1,18.1,92.8,486.42
127,___,__,Aug-10,25.7,35.1,19.6,274.4,392.61
128,___,__,Sep-10,20.4,31.1,9.5,272,389.2
129,___,__,Oct-10,14.9,24.4,2.4,86.5,359.74
130,___,__,Nov-10,9.1,21.1,-1.9,12,327.5
131,___,__,Dec-10,2.8,17.7,-10.7,19.7,260.76
132,___,__,Jan-11,-2.7,6.3,-13.2,12,323.41
133,___,__,Feb-11,2.1,15.1,-9,105.6,301.32
134,___,__,Mar-11,5.3,18.7,-5.9,20.4,506.25
135,___,__,Apr-11,11.4,24.6,0.9,115.7,498.13
136,___,__,May-11,14.3,26.6,6.4,65.3,542.02
137,___,__,Jun-11,20.2,35.3,11.5,341.5,574.98
138,___,__,Jul-11,22.3,30.7,17.7,412.1,369.52
139,___,__,Aug-11,24.8,35.7,18.7,140.3,455.54
140,___,__,Sep-11,20.4,29,12.3,190.1,413.33
141,___,__,Oct-11,14.9,26.4,4.6,22.1,386.11
142,___,__,Nov-11,11,19.3,-0.5,131.3,221.21
143,___,__,Dec-11,1.3,9.7,-8.7,99.7,249.34
144,___,__,Jan-12,-0.4,6.4,-8.9,24.2,274.42
145,___,__,Feb-12,0.1,11,-14.3,22.7,379.33
146,___,__,Mar-12,5.3,19.4,-4.3,85.3,416.16
147,___,__,Apr-12,12.1,24.3,0.5,133,509.1
148,___,__,May-12,16.4,27.8,9.6,46.1,576.84
149,___,__,Jun-12,19.8,29,13.6,76.2,476.08
150,___,__,Jul-12,23.9,34.7,17.2,244.3,498.49
151,___,__,Aug-12,24.4,31.3,18.1,212.5,376.94
152,___,__,Sep-12,19.6,29.3,11.7,233.5,410.86
153,___,__,Oct-12,15.8,24,6.2,25.6,396.14
154,___,__,Nov-12,7.6,16.9,-1.7,70.1,263.84
155,___,__,Dec-12,-0.5,11.2,-11.8,44.2,241.25
156,___,__,Jan-13,-0.8,10,-11.5,77.3,267.98
157,___,__,Feb-13,1.3,13.5,-14.1,16.1,350.35
158,___,__,Mar-13,6.3,18.8,-6.1,66.2,504.59
159,___,__,Apr-13,10.3,22.1,2,49,498.62
160,___,__,May-13,16.9,29,7,80.1,598.7
161,___,__,Jun-13,20.4,29.4,12.8,32,545.6
162,___,__,Jul-13,25.6,33.6,19.6,292.7,401.65
163,___,__,Aug-13,27.4,35.8,18.1,174.6,530.23
164,___,__,Sep-13,20.3,29.2,11.3,175.3,363.33
165,___,__,Oct-13,15.7,26,7.2,66.4,360.84
166,___,__,Nov-13,8.4,19.9,-4,23.3,270.82
167,___,__,Dec-13,2.7,13,-6.6,62.7,229.37
168,___,__,Jan-14,1.9,12.6,-8.8,29.3,260.54
169,___,__,Feb-14,1,16.7,-7.9,168.2,284.43
170,___,__,Mar-14,7.9,26.9,-4.2,40.4,425.97
171,___,__,Apr-14,13.3,27,0.7,98.8,489.36
172,___,__,May-14,18.1,32.5,8.1,25,698.29
173,___,__,Jun-14,19.9,32.8,13.7,41.9,432.33
174,___,__,Jul-14,25.1,34.6,16.9,126.9,561.88
175,___,__,Aug-14,23.5,33.3,15.6,296.1,388.58
176,___,__,Sep-14,20.6,31,12.7,181,425.92
177,___,__,Oct-14,15.8,24.6,6.6,39.6,353.93
178,___,__,Nov-14,10.2,19.5,-1.9,51.6,255.25
179,___,__,Dec-14,0.6,11.7,-10.8,0.2,265.84
180,___,__,Jan-15,1.8,12.2,-7.9,8.7,256.17
181,___,__,Feb-15,2.4,14.5,-10.4,32.1,309.13
182,___,__,Mar-15,6.6,21.4,-5,8,504.38
183,___,__,Apr-15,11.1,29.8,1.2,74.2,453.63
184,___,__,May-15,17.8,32.6,7.8,9.2,681.88
185,___,__,Jun-15,19.5,30.1,12.7,127.7,553.1
186,___,__,Jul-15,22.7,35.4,14.8,163.1,483.9
187,___,__,Aug-15,24.2,33,16.1,198.6,524.49
188,___,__,Sep-15,19.1,27.1,12.5,13.5,454.56
189,___,__,Oct-15,14.7,26.2,1,27.4,416.45
190,___,__,Nov-15,8.4,21.7,-3.2,463.5,175.34
191,___,__,Dec-15,3,10.9,-7.2,1.7,222.59
192,___,__,Jan-16,-1.2,11.5,-16.4,6.6,301.19
193,___,__,Feb-16,0.8,10.3,-9.4,38.3,347.78
194,___,__,Mar-16,7,21.5,-7.6,31.8,452.05
195,___,__,Apr-16,12.6,29.3,3.6,77.5,503.49
196,___,__,May-16,17.2,29,7.3,35.7,667.76
197,___,__,Jun-16,20.6,30.5,12.6,62.2,581.91
198,___,__,Jul-16,22.9,31.9,17,477.8,438.09
199,___,__,Aug-16,25.5,35.9,15.3,186.9,531.1
200,___,__,Sep-16,20.4,28.6,13.2,126,340.44
201,___,__,Oct-16,15.3,24.2,3.3,128.5,307.355
202,___,__,Nov-16,8.4,20.8,-2.5,40.8,259.04
203,___,__,Dec-16,4.4,14.1,-6.1,121.7,206.325
204,___,__,Jan-17,0.8,11.3,-11.2,82.4,275.17
205,___,__,Feb-17,3,14.7,-8.2,3.2,347.72
206,___,__,Mar-17,7,18.5,-2.8,48.7,437.31
207,___,__,Apr-17,14.8,30.8,2.6,46.8,572.235
208,___,__,May-17,18.7,34.3,9.3,25.2,656.33
209,___,__,Jun-17,19.8,29.7,9.9,69.7,655.775
210,___,__,Jul-17,25.6,34.9,18.9,270.3,446.93
211,___,__,Aug-17,23.7,32.4,16.4,424.9,421.9
212,___,__,Sep-17,20.8,28.4,13.1,50.5,491.305
213,___,__,Oct-17,14.5,25,4,135.4,337.55
214,___,__,Nov-17,7.8,20.4,-4,41.2,285.09
215,___,__,Dec-17,0.7,11.4,-9.9,9.9,266.715
216,___,__,Jan-18,-1.4,11.9,-16.2,3.9,301.945
217,___,__,Feb-18,-0.5,10.5,-13.2,54.4,348.15
218,___,__,Mar-18,8,24.7,-6.2,55,439.78
219,___,__,Apr-18,13,32.5,2,141.7,526.82
220,___,__,May-18,15.9,29.4,4.5,123.6,569.52
221,___,__,Jun-18,21.3,33.9,13.2,46.5,622.645
222,___,__,Jul-18,25,35.4,14.8,185.4,583.205
223,___,__,Aug-18,25.6,38.7,17.2,625,487.545
224,___,__,Sep-18,20,29,12.6,66.1,427.29
225,___,__,Oct-18,13.5,23.8,0.3,257.6,365.97
226,___,__,Nov-18,9.2,19.2,-1.9,207.4,238.745
227,___,__,Dec-18,1.6,12.7,-11.4,10.4,241.77
228,___,__,Jan-19,1.7,12.8,-9,8.7,280.755
229,___,__,Feb-19,2.5,15.7,-7.3,27.6,327.85
230,___,__,Mar-19,8.2,21.6,-1.4,44.4,449.07
231,___,__,Apr-19,11.9,25.9,1.3,80.9,525.84
232,___,__,May-19,19.8,34.2,6.5,5.7,742.51
233,___,__,Jun-19,20,30.2,11.5,97.8,631.65
234,___,__,Jul-19,24.7,36.1,17.7,234.4,494.97
235,___,__,Aug-19,25.7,35.6,19.3,293.5,560.89
236,___,__,Sep-19,20.9,32.3,11.6,209.9,385.85
237,___,__,Oct-19,16.1,25,6.5,185.5,352.08
238,___,__,Nov-19,9.4,21.1,-1.2,157.3,276.59
239,___,__,Dec-19,4.2,14.4,-7.1,9.8,217.32
240,___,__,Jan-20,3.4,11.2,-4.1,148.1,254.72
241,___,__,Feb-20,4.1,16.1,-8.2,55.8,331.85
242,___,__,Mar-20,7.9,19.3,-1.8,38,509.82
243,___,__,Apr-20,11.3,24.5,0.9,38.4,600.33
244,___,__,May-20,17.1,32.4,7.8,245.1,585.48
245,___,__,Jun-20,22.2,33.2,13.9,271.9,620.74
246,___,__,Jul-20,21.6,33.3,15.6,374.7,481.37
247,___,__,Aug-20,25.7,35.1,19.6,411.3,381.59
248,___,__,Sep-20,20.1,28.7,12.1,482.8,404.53
249,___,__,Oct-20,14.3,23.7,4.6,0,420.29
250,___,__,Nov-20,10,23.1,-2.1,19.2,287.07
251,___,__,Dec-20,1.8,11.2,-11.3,0.5,268.95
252,___,__,Jan-21,-1.2,9.7,-16.1,0,278.85
253,___,__,Feb-21,3.1,17.8,-10.1,5,352.26
254,___,__,Mar-21,8,18.9,-4.5,104.2,462.9
255,___,__,Apr-21,12.3,23.8,2,97.2,567.05
256,___,__,May-21,16.7,29.8,7.6,154.9,580.52
257,___,__,Jun-21,20.3,30,12.9,43.8,585.1
258,___,__,Jul-21,25.5,33.2,18.1,104.1,671.93
259,___,__,Aug-21,24.4,33.8,17.1,247.1,449.57
260,___,__,Sep-21,20.9,28.8,14.6,141.6,433.79
261,___,__,Oct-21,15.5,27.5,2.2,216.9,342.76
262,___,__,Nov-21,9.9,20.1,-1.8,16.2,271.29
263,___,__,Dec-21,2.8,13.9,-14.9,68.7,252.38
264,___,___,Oct-16,14.1,29,-1.9,112.1,381.67
265,___,___,Nov-16,5.1,19.5,-9.1,13.2,259.88
266,___,___,Dec-16,-0.2,10.2,-12.1,83.1,204.42
267,___,___,Jan-17,-3.4,11.6,-17,15.9,286.3
268,___,___,Feb-17,-1.5,12.2,-15.7,11,356.79
269,___,___,Mar-17,4.6,19,-8.3,17.9,436.28
270,___,___,Apr-17,13.2,29.1,-0.8,54.1,560.07
271,___,___,May-17,18.6,30.7,6.7,25.5,645.7
272,___,___,Jun-17,22.3,35,9.2,38.1,656.82
273,___,___,Jul-17,26.3,34.9,19.4,477.8,421.28
274,___,___,Aug-17,24.4,37.5,13.9,376.3,438.14
275,___,___,Sep-17,19.1,30.5,4.9,33.8,480.31
276,___,___,Oct-17,13.5,26.9,-3.7,42.6,366.06
277,___,___,Nov-17,3.2,18.8,-10.2,15.9,267.52
278,___,___,Dec-17,-4.3,8.6,-19,24.5,248.12
279,___,___,Jan-18,-6,8.6,-21.7,6.5,297.61
280,___,___,Feb-18,-3.4,10.4,-19.2,33,345.45
281,___,___,Mar-18,7,23.4,-8.2,32,434.45
282,___,___,Apr-18,12,29.2,-3,117.2,505.89
283,___,___,May-18,17.2,31,2.9,200.5,577.58
284,___,___,Jun-18,22.6,34.5,11.9,88.6,628.31
285,___,___,Jul-18,26.3,37.6,13.7,189.7,520.07
286,___,___,Aug-18,26.9,40.6,15.8,354.6,464.48
287,___,___,Sep-18,19.1,29.5,6.5,63,397.14
288,___,___,Oct-18,10.3,25,-2.5,102.6,314.48
289,___,___,Nov-18,5.1,19.3,-7.3,56.9,206.42
290,___,___,Dec-18,-3.2,12,-16.9,17.3,216.07
291,___,___,Jan-19,-3.9,8.3,-15.1,0.2,251.44
292,___,___,Feb-19,-0.6,13.4,-13.6,27.5,324.29
293,___,___,Mar-19,5,18.3,-7.3,30.9,431.23
294,___,___,Apr-19,10.6,28.3,-5.1,49.7,525.84
295,___,___,May-19,18.3,33.3,2.6,31.4,742.98
296,___,___,Jun-19,21.4,33.1,9.9,88.7,652.98
297,___,___,Jul-19,25,36.2,14.8,252.2,494.97
298,___,___,Aug-19,25.6,36.5,16.1,186.6,583.7
299,___,___,Sep-19,20.7,31.6,10.7,147.9,395.49
300,___,___,Oct-19,14,29.9,0.2,48.4,372.17
301,___,___,Nov-19,4.9,20.3,-7.5,57.8,272.42
302,___,___,Dec-19,-0.7,10.5,-13.4,10.5,217.32
303,___,___,Jan-20,-0.7,10.9,-10.6,55.9,278.76
304,___,___,Feb-20,0.7,15.5,-14.8,35.3,331.85
305,___,___,Mar-20,6.1,21,-6.6,13.7,509.82
306,___,___,Apr-20,9.7,24.6,-4.5,17,605.88
307,___,___,May-20,17.4,29.8,5.4,122.2,583.23
308,___,___,Jun-20,23.5,35.8,13.6,79.1,650.42
309,___,___,Jul-20,23.3,32.7,16.1,183.6,511.36
310,___,___,Aug-20,25.6,35.4,20.3,821.2,356.98
311,___,___,Sep-20,19,30,8.2,153.1,421.25
312,___,___,Oct-20,10.9,23.7,-2.7,0.3,420.29
313,___,___,Nov-20,5.3,19.4,-8.3,75.2,287.49
314,___,___,Dec-20,-3.6,9.9,-18.5,4.8,268.95
315,___,___,Jan-21,-5.7,11.5,-22.5,14.3,274.71
316,___,___,Feb-21,0.4,19.7,-14.2,5.6,366.24
317,___,___,Mar-21,7.1,22.8,-4.7,100.1,471.84
318,___,___,Apr-21,12.4,29.2,-0.1,110.2,564.07
319,___,___,May-21,15.6,30.6,3.1,159.3,569.66
320,___,___,Jun-21,21.6,32.3,12.4,128.1,599.05
321,___,___,Jul-21,26.7,36.6,18.5,202,697.93
322,___,___,Aug-21,24.3,34.4,15.7,122.5,480.64
323,___,___,Sep-21,20.7,29.7,13.2,103.7,464.07
324,___,___,Oct-21,13.1,28.2,-2,64.4,342.76
325,___,___,Nov-21,5.3,21,-6.6,49.8,271.29
326,___,___,Dec-21,-2.2,11.4,-17.2,5.2,252.38
327,___,__,Jan-00,-5.2,7.9,-18.5,51.8,152.99
328,___,__,Feb-00,-4.7,5.9,-18.1,8,329.07
329,___,__,Mar-00,3.8,18.2,-9.6,10,448.65
330,___,__,Apr-00,9.7,23.3,-3.8,34.3,486.355
331,___,__,May-00,15.9,29.6,3.9,85.9,520.28
332,___,__,Jun-00,21.9,32.7,9.4,116.9,547.195
333,___,__,Jul-00,25,33.6,17.7,115,512.23
334,___,__,Aug-00,24.2,33.3,18,479.6,412.735
335,___,__,Sep-00,18.5,31.2,5.2,163,347.645
336,___,__,Oct-00,11.6,26.1,-3.6,16.8,311.07
337,___,__,Nov-00,3.4,21,-9.7,17.4,231.67
338,___,__,Dec-00,-2.3,11.6,-18.2,26.5,234.16
339,___,__,Jan-01,-8.5,5.3,-29.2,27.3,257.045
340,___,__,Feb-01,-3.5,11.5,-21.4,16.2,295.82
341,___,__,Mar-01,2.5,20.6,-9.2,11.4,445.03
342,___,__,Apr-01,11.4,27.3,-5.5,12,539.605
343,___,__,May-01,17.8,31.4,4.5,13.7,598.28
344,___,__,Jun-01,21.1,32.3,11.4,224.5,438.715
345,___,__,Jul-01,24.2,32.7,16.8,603.3,477.375
346,___,__,Aug-01,23.8,33.1,13.7,229.4,518.38
347,___,__,Sep-01,19,30.7,3.5,10.8,411.455
348,___,__,Oct-01,13.2,24.6,0.8,93.6,323.025
349,___,__,Nov-01,3.3,15.7,-9.4,20.4,269.43
350,___,__,Dec-01,-4.6,9.9,-16.1,15,256.155
351,___,__,Jan-02,-3.9,10.1,-24.4,51.9,251.51
352,___,__,Feb-02,-0.3,12.9,-12,3.2,316.84
353,___,__,Mar-02,5.6,19.4,-8.4,37,438.205
354,___,__,Apr-02,11.8,27.6,-1.6,159.7,540.705
355,___,__,May-02,16.6,26.4,5.2,47.6,592.885
356,___,__,Jun-02,20.3,31.4,8.6,66.5,595.63
357,___,__,Jul-02,23.1,34.4,15.9,249.6,452.7
358,___,__,Aug-02,22.4,30.1,15.3,532.6,328.065
359,___,__,Sep-02,18.1,29.2,6,38.5,387.845
360,___,__,Oct-02,9.5,23.6,-5.5,60.8,365.845
361,___,__,Nov-02,0.7,16.1,-11.6,11.1,281.405
362,___,__,Dec-02,-2.8,14.5,-19.2,30.8,220.68
363,___,__,Jan-03,-7.1,6.1,-24.6,19.3,260.055
364,___,__,Feb-03,-0.8,9.4,-16.4,22.5,277.98
365,___,__,Mar-03,3.9,20.3,-9.6,20.6,402.49
366,___,__,Apr-03,10.6,23.3,-0.4,119,454.53
367,___,__,May-03,17,28.9,3.4,54.5,585.13
368,___,__,Jun-03,20,29.3,11.4,150.2,489.015
369,___,__,Jul-03,22.2,30.2,14.9,277.7,420.105
370,___,__,Aug-03,22.1,30.4,14.6,756.1,388.365
371,___,__,Sep-03,18.2,26.2,6.5,189.5,355.1
372,___,__,Oct-03,10.3,25.1,-2.6,32.3,407.82
373,___,__,Nov-03,6,19.8,-8.1,71.7,210.58
374,___,__,Dec-03,-2.7,8.1,-14.6,3.6,260.87
375,___,__,Jan-04,-5.8,6.3,-20.4,10.9,294.32
376,___,__,Feb-04,-0.6,17.5,-16.2,83.7,360.525
377,___,__,Mar-04,3.7,18.7,-11.2,23.1,513.115
378,___,__,Apr-04,10.7,27.7,-3.1,80.5,551.77
379,___,__,May-04,15.8,25.2,2.7,126.2,548.345
380,___,__,Jun-04,21,31.3,9.3,87.4,552.085
381,___,__,Jul-04,22.8,32.6,16.6,462,403.205
382,___,__,Aug-04,22.9,33.4,13.5,84.3,449.47
383,___,__,Sep-04,18.8,28.9,8.4,206.9,393.415
384,___,__,Oct-04,11.1,25.7,-2,11.1,416.145
385,___,__,Nov-04,5.4,20.2,-5.1,53,267.47
386,___,__,Dec-04,-2.1,13.9,-16.5,20.5,254.615
387,___,__,Jan-05,-6.2,7.2,-17.7,3.7,301.725
388,___,__,Feb-05,-5.4,10,-18.1,31.8,324.575
389,___,__,Mar-05,1.8,16.7,-11.9,11.8,485.365
390,___,__,Apr-05,10.9,26.7,-2.8,92.6,543.625
391,___,__,May-05,15.4,29,2.6,95.9,605.295
392,___,__,Jun-05,21.3,30.9,9.5,158,540.915
393,___,__,Jul-05,23.5,33.8,15.9,276.2,474.76
394,___,__,Aug-05,23,33.1,13,331.6,450.63
395,___,__,Sep-05,19.3,29.7,10.6,236.7,364.885
396,___,__,Oct-05,11.3,23.4,-3,13.3,368.705
397,___,__,Nov-05,4.5,21.7,-8.5,63.2,298.88
398,___,__,Dec-05,-7.5,5.5,-20.1,8.4,287.51
399,___,__,Jan-06,-4,7.6,-19.3,31.8,260.29
400,___,__,Feb-06,-2.2,11.5,-18.3,12,333.115
401,___,__,Mar-06,2.5,15.9,-10.8,19.7,492.48
402,___,__,Apr-06,9.4,21.6,-0.1,85.1,433.87
403,___,__,May-06,16.5,28.4,3.3,139,559.605
404,___,__,Jun-06,20.2,31.5,12,196.5,545.565
405,___,__,Jul-06,22.1,29.9,16.3,638.6,305.375
406,___,__,Aug-06,25.1,33.9,17.9,54.5,527.445
407,___,__,Sep-06,18.1,29.4,5.8,27.8,450.355
408,___,__,Oct-06,14.7,27.2,0.8,61.5,355.55
409,___,__,Nov-06,5.4,19.6,-5.7,21.6,246.205
410,___,__,Dec-06,-2.5,12.1,-17.3,9.9,241.33
411,___,__,Jan-07,-3.6,8.6,-16.9,8.5,270.455
412,___,__,Feb-07,0.5,15.2,-15.6,5,309.63
413,___,__,Mar-07,3.9,16.4,-11.2,87.7,402.87
414,___,__,Apr-07,9.6,23.3,-3.2,61.5,515.395
415,___,__,May-07,16.6,28.8,4.8,165.5,585.27
416,___,__,Jun-07,21.8,33.9,9.6,105.2,587.935
417,___,__,Jul-07,22.7,30.3,16.2,279.8,446.85
418,___,__,Aug-07,24.6,32.1,14.8,493,419.435
419,___,__,Sep-07,19.9,30.7,10.3,243.2,300.255
420,___,__,Oct-07,12.2,26.6,-2,31.1,370.625
421,___,__,Nov-07,3,19.1,-10.6,14.7,279.5
422,___,__,Dec-07,-2.4,12,-13.1,12.7,228.9
423,___,__,Jan-08,-5.4,5.5,-19.1,6.1,255.83
424,___,__,Feb-08,-4.7,9.3,-18.7,7.7,377.29
425,___,__,Mar-08,4.5,19.1,-7.3,59.5,414.065
426,___,__,Apr-08,11.9,28.4,-2.2,37.9,525.41
427,___,__,May-08,16.1,28.9,4.2,89.3,600.455
428,___,__,Jun-08,20,30.1,9,117.8,520.165
429,___,__,Jul-08,24.1,33.3,18.7,650.3,436.61
430,___,__,Aug-08,23.6,35.1,12.7,328.4,524.25
431,___,__,Sep-08,19.1,30.7,4.4,114.3,454.68
432,___,__,Oct-08,13.2,28.2,-1.1,34.1,378.83
433,___,__,Nov-08,4.3,18.8,-11.3,23.6,269.41
434,___,__,Dec-08,-1.7,12.1,-15.5,35.9,256.83
435,___,__,Jan-09,-5.7,9.9,-19,2.4,297.2
436,___,__,Feb-09,0.5,15.3,-13.6,49.1,288.8
437,___,__,Mar-09,4,21.9,-7.7,47.9,438.6
438,___,__,Apr-09,10.4,27.4,-3.8,78.3,568.4
